latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
12.970123,77.56364,904.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),wind_speed_10m (km/h),wind_direction_10m (°),wind_gusts_10m (km/h),cloud_cover (%),surface_pressure (hPa),precipitation (mm),weather_code (wmo code)
2020-12-02T00:00,16.8,96,16.1,17.3,10.7,50,19.1,100,914.5,0.00,3
2020-12-02T01:00,16.6,96,16.0,17.1,10.5,52,18.7,99,914.0,0.00,3
2020-12-02T02:00,16.4,96,15.8,16.7,11.2,45,18.7,98,913.2,0.00,3
2020-12-02T03:00,16.4,96,15.7,16.5,12.1,37,20.5,43,912.6,0.00,1
2020-12-02T04:00,16.0,95,15.3,16.2,11.5,39,20.5,75,912.4,0.00,2
2020-12-02T05:00,16.8,96,16.1,17.2,12.0,33,20.9,38,913.1,0.00,1
2020-12-02T06:00,16.9,97,16.4,17.1,13.6,32,23.4,100,913.4,0.00,3
2020-12-02T07:00,18.2,89,16.3,17.7,18.5,37,32.8,56,914.4,0.00,2
2020-12-02T08:00,19.9,79,16.2,19.3,18.2,39,36.0,32,915.4,0.00,1
2020-12-02T09:00,21.6,70,15.9,21.0,18.6,43,36.7,87,916.1,0.00,3
2020-12-02T10:00,23.5,62,15.8,23.4,18.6,44,37.4,95,916.0,0.00,3
2020-12-02T11:00,24.6,58,15.9,25.2,18.1,46,37.4,80,915.6,0.00,3
2020-12-02T12:00,25.4,57,16.2,26.5,17.3,43,36.7,21,914.7,0.00,1
2020-12-02T13:00,25.8,57,16.5,27.2,16.4,50,35.3,95,913.7,0.00,3
2020-12-02T14:00,25.8,57,16.5,26.4,16.9,50,33.8,99,912.7,0.00,3
2020-12-02T15:00,25.0,59,16.4,24.8,16.7,53,33.8,99,912.2,0.00,3
2020-12-02T16:00,24.2,62,16.4,24.2,15.9,51,31.3,100,912.1,0.00,3
2020-12-02T17:00,22.4,70,16.6,22.6,14.3,39,28.8,99,911.6,0.00,3
2020-12-02T18:00,21.0,75,16.5,21.3,14.1,38,24.5,97,912.1,0.00,3
2020-12-02T19:00,20.1,79,16.4,20.3,13.8,33,24.1,100,912.7,0.00,3
2020-12-02T20:00,19.5,82,16.2,19.7,13.4,36,23.4,100,913.2,0.00,3
2020-12-02T21:00,18.9,84,16.2,19.2,12.6,37,23.0,100,913.7,0.00,3
2020-12-02T22:00,18.4,87,16.2,18.7,13.0,34,22.0,100,913.4,0.00,3
2020-12-02T23:00,18.0,91,16.4,18.2,13.8,33,23.8,100,913.2,0.00,3
2020-12-03T00:00,17.5,93,16.4,17.7,14.2,30,24.5,100,912.4,0.00,3
2020-12-03T01:00,17.5,93,16.3,17.5,14.6,33,24.8,100,911.7,0.00,3
2020-12-03T02:00,17.5,91,16.0,17.3,15.4,33,26.3,100,911.2,0.00,3
2020-12-03T03:00,17.4,91,15.9,17.3,14.8,26,26.3,100,910.6,0.00,3
2020-12-03T04:00,17.5,90,15.8,17.4,14.2,27,25.9,100,910.9,0.00,3
2020-12-03T05:00,17.9,88,15.9,17.2,18.4,28,25.6,100,911.1,0.00,3
2020-12-03T06:00,18.0,88,15.9,17.8,15.6,29,31.7,100,911.7,0.00,3
2020-12-03T07:00,18.6,85,16.1,18.5,15.3,30,28.1,100,912.7,0.00,3
2020-12-03T08:00,19.9,80,16.2,19.5,17.9,30,32.8,100,913.9,0.00,3
2020-12-03T09:00,21.8,75,17.2,21.0,23.1,37,40.0,100,914.6,0.00,3
2020-12-03T10:00,21.5,79,17.6,20.9,22.5,41,43.2,100,914.4,0.00,3
2020-12-03T11:00,21.8,81,18.3,22.1,18.8,29,42.8,100,913.9,0.80,53
2020-12-03T12:00,22.8,78,18.9,23.4,18.3,22,42.1,100,912.8,0.60,53
2020-12-03T13:00,21.5,87,19.2,22.7,15.9,25,41.0,100,911.7,2.20,61
2020-12-03T14:00,20.8,91,19.3,21.7,17.8,36,30.6,100,911.0,3.60,63
2020-12-03T15:00,20.4,93,19.2,20.8,20.8,37,37.1,100,911.0,4.80,63
2020-12-03T16:00,20.1,94,19.1,20.7,19.3,33,36.7,100,910.9,2.90,63
2020-12-03T17:00,20.0,95,19.1,20.6,19.0,33,34.6,100,910.9,1.20,55
2020-12-03T18:00,19.8,95,19.0,20.6,18.0,33,33.1,100,911.3,0.70,53
2020-12-03T19:00,19.6,96,19.0,20.5,17.3,31,31.7,100,912.1,0.20,51
2020-12-03T20:00,19.6,96,19.0,20.7,15.9,38,29.9,100,912.9,0.00,3
2020-12-03T21:00,19.8,96,19.0,20.9,15.6,40,28.1,100,913.5,0.00,3
2020-12-03T22:00,19.8,95,19.0,20.8,15.7,37,27.4,100,913.2,0.00,3
2020-12-03T23:00,19.5,96,18.8,20.4,15.9,39,27.4,100,912.8,0.00,3
2020-12-04T00:00,19.6,95,18.8,20.4,17.3,42,29.5,100,912.3,0.00,3
2020-12-04T01:00,19.5,96,18.8,20.3,16.7,33,29.9,100,911.0,0.00,3
2020-12-04T02:00,19.1,97,18.6,20.0,16.3,35,29.5,100,910.4,0.20,51
2020-12-04T03:00,19.3,96,18.6,20.0,17.5,37,30.2,100,910.0,1.10,55
2020-12-04T04:00,19.2,96,18.6,19.8,17.7,38,31.3,100,909.9,2.20,61
2020-12-04T05:00,19.0,96,18.5,19.7,17.1,44,31.3,100,910.7,0.40,51
2020-12-04T06:00,19.2,96,18.6,19.9,17.3,42,30.2,100,911.1,0.30,51
2020-12-04T07:00,19.5,95,18.7,20.3,16.1,48,30.2,100,911.9,0.30,51
2020-12-04T08:00,20.0,93,18.9,20.8,17.3,47,29.2,100,912.8,0.20,51
2020-12-04T09:00,20.8,90,19.0,20.8,22.7,42,39.6,100,913.3,0.10,51
2020-12-04T10:00,21.9,83,18.9,21.2,27.0,46,47.5,100,913.1,0.00,3
2020-12-04T11:00,22.9,75,18.2,21.9,27.0,46,49.0,100,912.7,0.00,3
2020-12-04T12:00,22.5,78,18.5,22.1,24.0,40,48.6,100,911.7,0.00,3
2020-12-04T13:00,23.0,75,18.4,22.3,25.7,42,42.8,100,910.7,0.00,3
2020-12-04T14:00,22.4,80,18.8,22.3,23.0,55,47.5,100,910.6,0.10,51
2020-12-04T15:00,21.5,84,18.7,21.6,21.5,59,41.4,100,910.3,0.50,53
2020-12-04T16:00,21.0,88,19.0,21.4,20.6,63,37.4,100,910.7,0.20,51
2020-12-04T17:00,21.5,84,18.8,22.2,17.6,49,36.0,100,910.8,0.10,51
2020-12-04T18:00,20.5,89,18.7,21.4,16.4,50,31.0,100,911.0,0.00,3
2020-12-04T19:00,20.4,91,18.9,21.5,14.8,49,28.4,100,912.1,0.00,3
2020-12-04T20:00,20.2,92,18.9,21.4,15.0,44,26.3,100,912.7,0.00,3
2020-12-04T21:00,20.0,93,18.9,21.3,14.5,44,25.9,100,912.9,0.00,3
2020-12-04T22:00,20.0,93,18.9,21.0,15.5,48,27.0,100,912.9,0.00,3
2020-12-04T23:00,19.7,94,18.7,20.8,14.5,44,27.4,99,912.2,0.00,3
2020-12-05T00:00,19.5,95,18.5,20.6,13.5,46,25.6,100,911.9,0.00,3
2020-12-05T01:00,19.5,93,18.5,20.6,14.0,48,24.5,100,911.6,0.00,3
2020-12-05T02:00,19.3,95,18.5,20.4,13.8,51,24.5,100,911.3,0.00,3
2020-12-05T03:00,19.5,94,18.5,20.6,13.3,41,24.1,100,910.9,0.10,51
2020-12-05T04:00,19.5,94,18.5,20.6,13.3,38,23.8,100,911.0,0.00,3
2020-12-05T05:00,19.4,94,18.5,20.8,11.8,38,23.0,100,911.3,0.00,3
2020-12-05T06:00,19.5,94,18.5,20.8,13.0,34,22.3,100,911.6,0.00,3
2020-12-05T07:00,20.0,92,18.6,20.8,15.9,38,27.4,100,912.6,0.00,3
2020-12-05T08:00,21.0,87,18.6,21.1,20.7,50,36.7,100,913.6,0.10,51
2020-12-05T09:00,22.5,79,18.7,22.6,21.4,54,38.9,92,914.1,0.10,51
2020-12-05T10:00,23.4,81,20.0,24.3,20.0,39,42.8,81,914.0,0.30,51
2020-12-05T11:00,23.2,81,19.7,24.8,18.7,52,44.6,62,913.7,0.90,53
2020-12-05T12:00,24.0,81,20.5,25.3,21.2,50,40.3,93,912.8,0.20,51
2020-12-05T13:00,24.5,71,19.0,25.0,22.9,48,42.8,41,911.9,0.30,51
2020-12-05T14:00,24.5,73,19.3,24.5,23.9,44,44.3,64,911.0,0.20,51
2020-12-05T15:00,23.8,73,18.6,23.3,25.4,52,46.1,88,911.0,0.20,51
2020-12-05T16:00,21.6,85,19.0,21.7,22.9,60,46.1,99,911.3,0.80,53
2020-12-05T17:00,21.1,88,19.0,22.2,15.9,51,39.2,100,911.3,0.50,53
2020-12-05T18:00,20.2,93,19.0,21.3,16.1,50,27.7,100,911.8,0.00,3
2020-12-05T19:00,19.8,94,18.8,20.5,17.1,46,29.9,100,912.6,0.00,3
2020-12-05T20:00,19.4,96,18.7,20.2,16.0,46,29.5,100,913.2,0.00,3
2020-12-05T21:00,19.5,95,18.5,20.1,17.3,47,30.6,100,913.6,0.00,3
2020-12-05T22:00,19.5,94,18.5,20.0,17.9,50,31.3,100,913.2,0.00,3
2020-12-05T23:00,19.3,94,18.2,19.7,18.2,52,31.7,99,912.9,0.00,3
2020-12-06T00:00,19.0,94,18.0,19.2,18.3,54,32.0,100,912.4,0.00,3
2020-12-06T01:00,19.0,92,17.6,19.0,19.2,50,33.1,99,911.9,0.00,3
2020-12-06T02:00,18.4,94,17.4,18.1,19.9,46,34.2,99,911.2,0.00,3
2020-12-06T03:00,18.2,94,17.3,17.8,20.7,51,36.0,99,911.1,0.00,3
2020-12-06T04:00,18.5,94,17.5,18.1,20.8,56,36.7,100,911.5,0.00,3
